Colonne1;year;record_number;pages;catalogue_title;authors
74684;1984;61119;[14, 15, 16, 17];The Legacy of colonial art;Bayón, Damián
74684;1984;61120;[9, 10, 11, 12, 13];"A Labyrinth of forms; the pre-Hispanic culture of Peru";García Ruiz, Jesús F.
74684;1984;61121;[4, 5, 6, 7, 8];The Sacred and the profane: two faces of Meso-American art;Soustelle, Jacques
74681;1984;61122;[31, 32, 33, 34];A World athirst for oil: from square-rigger to supertanker;Labouret, Vincent
74681;1984;61123;[30];The Slave trade;Kedros, André
74681;1984;61124;[26, 27, 28, 29];Retracing the caravan routes of East Africa: from Kilwa to Zimbabwe;Mbwiliza, Joseph Frederick
74681;1984;61125;[25];Sea, silk and sutras;Tang, Rinnie|Colombel, Pierre
74681;1984;61126;[22, 23, 24];A Silken highway from East to West: from Cathay to Antioch;Ma Yong
74681;1984;61127;[20, 21];"The Life of spice; cloves, nutmeg, pepper, cinnamon";Khoo Joo Ee
74681;1984;61128;[16, 17, 18, 19];Fair city of Flanders: Bruges, a Medieval centre of commerce;Morren, Paul
74681;1984;61129;[13, 14, 15];"Forever amber; from the Baltic to the Levant";Raunig, Walter
74681;1984;61130;[10, 11, 12];Was there a 'tin road' across Europe 2,500 years ago? From Cornwall to Corinth;Schwab, Hanni
74684;1984;61132;[37, 38, 39, 40, 41, 42, 43, 44, 45, 46];The Artistic ferment of a continent;Rodríguez Saavedra, Carlos
74684;1984;61133;[36];Castles in the air: Haiti's painters of high spirits;Depestre, René
74684;1984;61134;[35];The Dance of death;Rojas Mix, Miguel A.
74684;1984;61135;[34];The Master-craft workers of Mexico;Lanz de Ríos, Anharad
74684;1984;61136;[32, 33];The Originality of Peruvian popular art;Solari, Manuel Checa
74684;1984;61137;[31];The Bread (and butter) art of Ecuador;Adoum, Jorge Enrique
74684;1984;61138;[30];Armando Reverón: a lust for light;Calzadilla, Juan
74684;1984;61139;[29, 30];The Vibrant world of Cándido Portinari;Calado, Antonio Carlos
74684;1984;61140;[22, 27];Four artists in chiaroscuro;Glissant, Edouard
74684;1984;61141;[21, 28];Brasilia, 'the capital of hope';Bica, Briane Elisabeth Panitz
60703;1984;61178;[16];Red shift and the Doppler effect;
60703;1984;61179;[16];Hubble's Law;
61392;1984;61256;[4];The Gypsy destiny;UNESCO. Director-General, 1974-1987 (M'Bow, A.M.)
61392;1984;61259;[5, 6, 7];The World their homeland;Vaux de Foletier, François de
61392;1984;61262;[8, 9, 10];The Gaduliya Lohars: India's wandering blacksmiths;Cobas Puente, Esteban
61392;1984;61263;[11, 12, 13, 14];Bridging the culture gap;Charlemagne, Jacqueline
61392;1984;61278;[15, 16, 17];The Gypsy craftsmen of Europe;Tomka, Miklós
61392;1984;61283;[18, 19, 20];The Sharing, caring family;Janush, Rosa Taikon
61392;1984;61284;[21, 22, 23];A Wandering voice;Soravia, Giulio
61392;1984;61285;[24, 25];Half a million Gypsies victims of the Nazi terror;Novitch, Myriam
61392;1984;61286;[26, 27, 28];From campfire to footlights;Slichenko, Nikolai Alekseyevich
61392;1984;61288;[28, 29, 30, 31];Flamenco: '...a taste of blood in the mouth';Grande, Felix
61392;1984;61290;[32, 33];The Gypsies of Brazil;Mota, Atico da Vilas Boas
61306;1984;61313;[8, 10];Where I get my ideas';Asimov, Isaac
61306;1984;61314;[13, 14, 15, 16];No science without fiction;Kazantsev, Alexander
61306;1984;61315;[17, 18, 19];Ariadne's thread;Pereira, Manuel
61306;1984;61318;[20, 21];High societies: space settlements of tomorrow;
61306;1984;61320;[22, 24, 25];Science fiction in the classroom;Boutzev, Christo
61306;1984;61324;[23];Of what is past, or passing, or to come';Bradbury, Ray
61306;1984;61325;[26, 27, 28, 29];Fantastic voyages in film;
61306;1984;61326;[30, 31, 32, 33, 34];In the age of one world': a Chinese Utopia;Kang You Wei
61306;1984;61327;[35, 36, 37];A Voyage to the centre of Jules Verne;Ducrocq, Albert
62393;1964;61362;[4, 5, 6, 7, 8, 9];Sport is education;UNESCO. Director-General, 1962-1974 (Maheu, R.)
62393;1964;61364;[10, 11, 12, 13, 14, 15, 16, 17];What makes the athlete run?;Bannister, Roger G.
62393;1964;61366;[20, 21, 22, 23, 24];Etchcraft on celluloid;MacDermot, Anne
62393;1964;61368;[24, 25, 26, 27];Countdown for space flight;Dyomin, Vladimir|Aksenov, Evgeny P.|Grebenikov, Evgeny
62393;1964;61370;[28, 29, 30, 31, 32];New tools to map our hidden mineral wealth;Bruckshaw, J.M.
61386;1964;61384;[4, 5, 6, 7, 8, 9, 10, 11];"Today's trends in world communications; a special UNESCO report";
61386;1964;61385;[12, 13, 14];New sights and sounds in the classroom;Darnborough, Anne
61386;1964;61387;[20, 21, 22, 23, 24, 25, 26, 27];3,000 years of glass-making: craft workers of the Phoenician coast;Engle-Berkoff, Anita
61386;1964;61388;[30, 31, 32];Cyprus: Byzantine frescoes and mosaics: a new UNESCO art album;
61306;1984;61396;[4, 5, 6, 7];Science and science fiction: co-explorers of reality;Goswami, Amit
78423;1965;61445;[8, 9, 10, 11];Biological aspects of race, a document of paramount importance;
61468;1964;61469;[24, 25];Eleven centuries of the Cyrillic alphabet;
62906;1964;61489;[4];Tuberculosis: still 3 million deaths a year;
62906;1964;61490;[5, 6, 7, 8];The Battle of Tunisia;
62906;1964;61491;[7, 8, 9, 10];March 24, 1882: a momentous look into the microscope;
62906;1964;61493;[10, 11, 13];Birth of a new vaccine: bacillus Calmette Guérin;
62906;1964;61494;[16, 17, 18, 19, 20];Maria Montessori: a vision of mankind transformed;Remiddi, Maria
61468;1964;61504;[26, 27, 28, 29];Scripts shrouded in mystery;
61468;1964;61506;[30, 31, 32, 33];Ideograms from ancient China;
62906;1964;61519;[21, 22, 23];The Silent music of the earth;Thompson, May Hall
62906;1964;61520;[24, 25];Pantheon of Greek gods and heroes;
62906;1964;61521;[26, 27, 28, 29, 30, 31];"The Day the river spoke; a short story";Nair, Kamala
61952;1964;61947;[4, 5, 6, 7, 8, 9, 10, 11];World side story: a 20th century dilemma;Kvaraceus, William C.
61952;1964;61951;[14, 15, 16, 17, 20, 21, 22, 23];The London that was Shakespeare's;Chute, Marchette
61953;1964;61954;[10, 11, 12, 13];Rebel with a cause;Pavlychko, Dmitro
62352;1984;61955;[4, 5, 6, 7, 8];The Miracle of rice;Swaminathan, M.S.
62352;1984;61956;[9, 10, 11, 12, 13];Rice in myth and legend;Taryo, Obayashi
62352;1984;61957;[14, 15, 16];Krushna the farmer;Mohanti, Prafulla
62352;1984;61958;[16, 17];Pongal;Deleury, Guy
62352;1984;61959;[18, 19];China's 7,000-year-old crop;Hu Baoxin|Chang Shujia
62352;1984;61960;[20, 21];The God who stole the rice;Taryo, Obayashi
62352;1984;61961;[22, 23];Green winters on the Red River;Tuan, Dao The
62352;1984;61963;[24, 25];A Household god;Lee, Kwang Gyu
62352;1984;61964;[26, 27];A City built on rice;Vallibhotama, Srisakra
62352;1984;61965;[31];Never eat rice in the dark';Tan, Samuel K.
62352;1984;61967;[32, 33];The Soul of a people;Kling, Zainal
62352;1984;61971;[34, 35];A 'Plov' is as good as a feast;Andrianov, Boris Vassilievich
62352;1984;61972;[36, 37];A Touchstone of time and place;Rafaralahy-Bemananjara, Zefaniasy
61953;1964;62090;[14, 15];The Shore of exile;Caillois, Roger
61953;1964;62094;[17, 20, 21, 22];"Encounter on a summer night: extract from Shevchenko's novel ""The Painter""";
61953;1964;62096;[23, 24];Man through his art: music;Hinks, Roger P.
61953;1964;62098;[26, 27, 28, 29, 32];The Flags are not enough;
62188;1964;62139;[4, 5, 6, 7, 8, 9];A World-wide programme of scientific research: the International Hydrological Decade;Batisse, Michel
62188;1964;62140;[10, 11, 12, 13];Water in the world;Leopold, Luna Bergere
62188;1964;62141;[14, 15, 16, 17, 18, 20, 21];Underground water, a wasted treasure;Kunin, Vladimir N.
62188;1964;62144;[22, 23, 24, 25, 26, 27];Can we stop the cancer of river pollution?;Colas, René
62188;1964;62145;[28, 29, 30, 31];Where we stand with water desalting;Fenton, Ronald S.
62188;1964;62147;[32, 33, 36, 37];Rivers of international concord;White, Gilbert Fowler
62188;1964;62148;[34, 35];The New Nile;
62188;1964;62150;[40, 41, 42, 43];Drops in the hydrologist's bucket;
62188;1964;62151;[44, 45, 46, 47];"Peoples of the deltas; a see-saw battle between river and sea";Volker, Adriaan
62188;1964;62152;[48, 49, 50, 51, 52, 53];The High wall of the low countries;
62188;1964;62154;[54, 55, 56, 57, 58, 59];Floods, floods, floods;Pardé, Maurice
62188;1964;62155;[60, 61, 62, 63];Hydraulic civilizations;Armillas, Pedro
62188;1964;62166;[20, 21];The Thirstless camel;
62188;1964;62191;[18, 19];Sculpture with water;
62195;1964;62199;[5, 6];The Surge to the towns;Ward, Barbara E.
62195;1964;62202;[7, 8, 9, 10, 12];Ceylon: silent victory;Siriwardena, Subadra
62195;1964;62211;[13, 14, 15, 16];Burma: family in transition;Gyi, Ni Ni
62195;1964;62216;[17, 21];Thailand: 'I am no longer the hind legs of an elephant';Dickinson, Pramuan
62195;1964;62232;[18, 19, 20];Three villages under a microscope;
62195;1964;62235;[22, 23, 24, 25, 26, 27];Viet-Nam: twenty years of change and turmoil;Kim, Le Kwang
62195;1964;62239;[28, 29, 30, 31, 32];Is there a solution for delinquency?;Kvaraceus, William C.
62313;1964;62296;[4, 5, 6, 7, 8];"The Struggle against illiteracy; the most exalting venture of our generation";UNESCO. Director-General, 1962-1974 (Maheu, R.)
62313;1964;62297;[9, 10, 11, 28, 29, 30, 31];Investment in people;Phillips, Herbert Moore
62313;1964;62299;[12, 13, 14, 15, 16, 17];The Highest school in the world: Sir Edmund Hillary's latest conquest in the Himalayas;Spector, R.J.
62313;1964;62301;[18, 19, 20, 21, 22, 23];Art of Ethiopia: a folk tradition centuries old;Jäger, Otto A.
62313;1964;62304;[24, 25, 26, 27];A Safari armed with microscopes;Balogh, Janos
62313;1964;62307;[33];Great men, great events;
62315;1964;62316;[6, 7, 8, 9, 10];Nuclear weapons and world sanity;Pauling, Linus
62315;1964;62319;[11, 12, 13];Fall-out hazards, now and yesterday;Kuzin, Alexander M.
62315;1964;62322;[14, 15, 16, 17];The Sword and the ploughshares;United Nations
62315;1964;62327;[18, 19];Nine tapestries on man in the atomic age;
62315;1964;62329;[20, 21, 33];"Pugwash; a world movement on the responsibility of the scientist in world affairs";
62315;1964;62332;[22, 23, 24, 25];The Economic impact of disarmament;United Nations
62315;1964;62333;[26];Disarmament and the developing countries;United Nations
62315;1964;62334;[27, 28];The Last flower;Thurber, James
62315;1964;62336;[29, 30, 31, 32];Peaceful uses for military energy;Calder, Ritchie
62384;1964;62339;[4, 5, 6];Victory in Nubia;Vrioni, Ali
62384;1964;62342;[7, 8];Nubia's sands reveal their last secrets;Desroches Noblecourt, Christiane
62384;1964;62343;[9];"Amada; a whole temple moved on rails";
62384;1964;62345;[10, 11, 12, 13, 14, 15];How Abu Simbel will be saved;Martini, Karl Heinz
62384;1964;62371;[16, 17, 18, 20, 21, 22, 23, 24, 25, 26];Faras: incomparable gallery of 169 frescoes;
62384;1964;62373;[19, 20, 21, 22];A Fresco is removed;Gerster, Georg
62384;1964;62374;[27, 28, 29, 30, 31, 32, 34, 35];Return to the land of Kush;Keating, Rex
62384;1964;62377;[33];The Scrolls of Kasr Ibrim;
62384;1964;62378;[36, 37];Desert highway built for ships;Vercoutter, Jean
62384;1964;62380;[38, 39];Moving a temple as big as a cathedral;Stock, Hanns|Siegler, Karl Georg
62384;1964;62381;[40, 41];The Aswan High Dam: key to a nation's future;AbuWafa, Taher
62384;1964;62382;[42, 43];Stamps for Nubia;
62384;1964;62383;[46];UNESCO Courier Index: 1964;
62315;1964;62396;[4, 5];Arms cost the world USD120 thousand million per year;
62404;1963;62412;[10, 11, 12, 13];The Library of the future;Shera, Jesse Hauk
62404;1963;62414;[14, 15, 16, 17, 18, 19];African exodus: the dramatic problem of 150,000 refugees;Wright, Stanley J.C.
62404;1963;62418;[20, 21, 22, 23];A Sputnik's eye view of the earth;Samsonenko, L.
62404;1963;62420;[26];UNESCO art pocket books: a new venture in art publishing;
62404;1963;62421;[26, 27];UNESCO in retrospect and perspective;Hesse, Jane Albert
62404;1963;62422;[28, 29, 30, 31, 32];The Hidden face of the cinema, pt. 2: film distribution;Léglise, Paul
78196;1963;62429;[6, 7, 8, 9];The Continuing barrier: translation and East-West communications;Collison, Robert Lewis
78196;1963;62435;[6, 7];UNESCO's annual translations' guide;
78196;1963;62437;[10, 11, 12, 13];"Ishi, the last of the Yanas; a primitive Indian between two worlds";Métraux, Alfred
62603;1985;62508;[2];A Message to world youth;UNESCO. Director-General, 1974-1987 (M'Bow, A.M.)
62603;1985;62510;[4, 5, 6];Water and man;Voropayev, Grigori V.
62603;1985;62512;[7];Nature's water wheel;
62603;1985;62536;[8, 9];Erosion, drought and deserts;Food and Agriculture Organization of the United Nations
62603;1985;62538;[10, 11];"Drought over Africa; the eleven worst-stricken countries";United Nations Children's Fund
62603;1985;62540;[12, 13];The Menace of desert advance;Skouri, Mohammed
62603;1985;62543;[14, 15, 16];Mining fossil water;Margat, Jean|Saad, Kamal Farid
62603;1985;62548;[17, 18, 19, 20];Managing the world's most precious resource: UNESCO's International Hydrological Programme;
62603;1985;62553;[21, 22, 23, 24];Acid rain;United Nations Environment Programme
62603;1985;62565;[25, 26];Cities athirst;
62603;1985;62566;[27, 28];Washing our dirty water;
62603;1985;62568;[29, 30];The Waterlords of ancient Sri Lanka;Gurugé, Ananda W.P.
62603;1985;62569;[31, 32, 33, 34];The Deadly snails of Dongfeng: how a Chinese community vanquished schistosomiasis;Zhang Bihua
78196;1963;62622;[14, 15, 16, 17, 18, 19, 20];"A Lost civilization emerges from the past; the enigma of the Hittites";Laroche, Emmanuel
78196;1963;62630;[21, 22, 23, 24, 25, 32];Gastronomy for the bold;Calder, Ritchie
78196;1963;62631;[26, 27, 28, 29, 30, 31];The Hidden face of the cinema, pt. 3: an audience of 12,000,000,000;Léglise, Paul
78196;1963;62645;[24, 25];How you can help the fight against hunger;
62935;1963;62646;[10, 11, 12, 13, 14, 15];Rousseau, father of anthropology;Lévi-Strauss, Claude
62935;1963;62647;[16, 17, 20];The Solitary wanderer;Pfister, Anne Marie
62935;1963;62648;[21, 22, 23];Rousseau's message for our world today;Gomes Machado, Lourival
62935;1963;62649;[24, 25, 26];Oriental echoes of the 'Social contract';Kuwabara, Takeo
62935;1963;62650;[27, 28, 29];The Anatomy of underdevelopment, pt. 4: the indivisibility of world prosperity;
62935;1963;62651;[31, 32];UNESCO, 1963-1964: a world programme for education, science and culture;
62672;1963;62674;[14, 15, 16, 17, 18, 19];A Portuguese Sancho Panza in the Far East;Saraiva, Antonio José
62672;1963;62680;[20, 21, 22, 23];Does life end at sixty?;Métraux, Alfred
62672;1963;62681;[24, 25, 26, 27];Holiday cure for bored teen-agers;Gillette, Arthur Lavery
62672;1963;62683;[28, 29, 30, 31, 32];The Hidden face of the cinema, pt. 4: Censorship, a double-edged weapon;Léglise, Paul
62706;1963;62707;[10, 11, 12, 13, 14, 15, 16];A Biologist looks at world co-operation in science;Sissakian, Norajr Martirosovich
62706;1963;62708;[17, 18, 19, 20];Stained glass: 400 years in one family;Almasy, Paul
62706;1963;62709;[21, 22, 23, 32];The Hidden face of the cinema, (pt.5): The Useless barriers;Léglise, Paul
62706;1963;62716;[24, 25, 26, 27, 28, 29, 30, 31];"Operation 'Nordeste'; Brazil's bold programme in the hunger campaign";Castro, Josué de
62882;1985;62735;[4];The Memory of mankind;Borges, Jorge Luis
62882;1985;62736;[5, 6, 7];Libraries and archives for tomorrow;Parker, J. Stephen
62882;1985;62737;[9, 10, 11];Contested records: the legal status of national archives;Kecskeméti, Charles
62882;1985;62740;[12, 13, 14, 15];African archives and the oral tradition;Mazrui, Ali A.
62882;1985;62741;[17];The 'Archives agreement': a modern approach to literary conservation and research;Senghor, Léopold Sédar
62882;1985;62742;[18];UNESCO's library and archives;
62882;1985;62743;[23];The Riches of the Vatican library;Stickler, Alfonso Marie
62882;1985;62744;[24];A Letter of credit drawn on the past;Barucci, Piero
62882;1985;62749;[25];Grassroots of the pampas;García Belsunce, César A.
62882;1985;62750;[26, 27];The Computer revolution in research libraries;Dougherty, Richard M.
62882;1985;62751;[28, 29, 30, 31];History off the record: the archives of a teaching age;Franz, Eckhardt G.
62882;1985;62752;[31];Sense and censorship: behind the censor's blue pencil;Hanak, Peter
62882;1985;62765;[33];The Lenin Library;
62882;1985;62766;[33];The New science of bibliology;Bianchi, Anne Marie
62882;1985;62767;[34, 35, 36, 37];A 'What's what' of libraries and archives;
78200;1963;62788;[4, 5, 6, 7];History of mankind: a global view of scientific and cultural development;Métraux, Guy P.R.
78200;1963;62789;[8, 9, 10];The Awakening of the mind;Hawkes, Jacquetta
78200;1963;62790;[11, 12, 13];The Dawn of art;Hawkes, Jacquetta
78200;1963;62791;[14, 15];A Schoolboy in Sumer;Woolley, Sir Leonard
78200;1963;62792;[16, 17];The First astronomers of China and Babylon;Woolley, Sir Leonard
78200;1963;62793;[18, 19];Birth of glass;Woolley, Sir Leonard
78200;1963;62794;[20, 21, 22, 23, 24, 25];The Red Cross: centenary of a universal banner;Havrincourt, Hubert d'
78200;1963;62795;[26, 27, 28, 29, 30];The Mental strains of Antarctic solitude;Law, Phillip Garth
62906;1964;62905;[12, 13];Resurrection of the Eskimoes;
61952;1964;62911;[12, 13, 18, 19];William Shakespeare, year four hundred;
61952;1964;62912;[28];Truth behind the veil of facts;Ortega y Gasset, José
62906;1964;63196;[14, 15];"Super-bacilli'; a new challenge to medicine";
63438;1985;63234;[4];Tomorrow's habitat: an international competition for young architects;
63438;1985;63236;[4, 5, 6, 7];Architecture and the city;Tange, Kenzo
63438;1985;63240;[8, 9, 10, 11, 12, 13, 14, 15, 16, 17];Tomorrow's habitat: award-winning projects from ten countries;
63438;1985;63245;[18, 19];A City for the year 2,000;Niemeyer, Oscar
63438;1985;63246;[20, 21];The Metamorphosis of Cairo;Fathy, Hassan
63438;1985;63247;[22, 23];UNESCO and the conservation of Old Cairo;
63438;1985;63248;[24, 25, 26, 27, 28, 29];The World's urban explosion;
63438;1985;63250;[30];The Outlook for urban man;
63438;1985;63256;[31, 32, 33];A Back-to-the-earth approach to housing;Dethier, Jean
63436;1963;63288;[4, 5, 6, 7, 8, 9, 10];World of opportunity;Calder, Ritchie
63436;1963;63289;[10, 11, 12, 13];Freedom with knowledge;Eban, Abba
63436;1963;63291;[14, 15, 16, 17];The Promise of nuclear energy;Bhabha, Homi Jehangir
63436;1963;63295;[19, 20, 21, 22, 23];Index of prosperity: S.T.P. (scientific and technical potential);Kovda, Victor Abramovitch
63436;1963;63297;[24, 25, 26, 27, 28, 29];330 million brains for a new era;UNESCO. Director-General, 1962-1974 (Maheu, R.)
63436;1963;63301;[30, 31];Sensible shopping in the supermarket of science;Blackett, Patrick M.S.
63436;1963;63303;[32, 33, 34, 35, 36];A Face-lift for the science curriculum;Wiesner, Jerome B.
63436;1963;63304;[37, 38, 39, 40];A University town built by a country doctor;
63436;1963;63306;[41, 42, 43];At Assiut, the ancient capital of Upper Egypt, a new university is born;Huzayyin, S.A.
63436;1963;63308;[44, 45, 46, 47, 48, 49];African metamorphosis;Kalitsi, E.A.K.
63436;1963;63319;[50, 51, 52, 53, 54, 55];Urban explosion in developing nations;Mercier, Paul
63436;1963;63328;[56, 57];Homo sapiens, that strange paradox;Bovet, Daniel
63436;1963;63331;[58, 59, 60, 61, 62, 63];Into the world of the future;Semenov, Nicolai N.
63436;1963;63332;[65, 66];Scientists abroad;Elliott, Alan J.A.
78356;1963;63346;[4, 5, 6, 7, 8, 9, 10, 11];Blindfolded traveller in New Delhi;Fradier, Georges
78356;1963;63350;[12, 13, 14, 15, 16, 17, 20, 21, 22, 23];Movement and light in today's art;Popper, Frank
78356;1963;63354;[18, 19];Malina: artist-scientist of the space age;
78356;1963;63355;[24, 25, 26, 27];Tracking the hurricane;Yarham, E.R.
78356;1963;63357;[28, 29, 30, 31, 32];When flight was silent;Gunston, David
63437;1963;63358;[4, 5, 6, 7, 8, 9, 10, 11];Are the continents drifting?;Wilson, J.T.
63437;1963;63362;[12, 13, 14, 15, 16, 17];The Upper Mantle Project: world scientists join in a great venture;Beloussov, V.V.
63437;1963;63365;[20, 21, 22, 23, 24, 25];The Hidden world of volcanoes;Tazieff, Haroun
63437;1963;63366;[26, 27, 28, 29, 30];300,000 earthquakes a year;Fournier d'Albe, E.M.
63437;1963;63368;[30, 31, 32];Wanted: more quake-proof buildings;Takeyama, Kenzaburo
63381;1963;63372;[4, 5, 6, 7, 8, 9, 10, 11];UNESCO in the Congo;Fullerton, Garry A.
63381;1963;63389;[15, 16, 17, 18, 19, 20, 21, 22];My life in art: last pages of Stanislavsky's spiritual testament;
63381;1963;63393;[23, 26, 27];One language for the world?;Pei, Mario
63381;1963;63395;[24, 25];Allo, hallo..., communications in a nutshell;National Commission of Romania for UNESCO
63381;1963;63397;[30, 31, 32];The Unsolved mystery of Marajo;Métraux, Alfred
63446;1963;63411;[4, 5];15 years ago...;Torres Bodet, Jaime
63446;1963;63412;[6, 7, 8, 9, 10, 11];UNESCO and human rights for all;
63446;1963;63413;[12, 13, 14];The Outlawing of India's caste system;Kabir, Humayun
63446;1963;63414;[15];Eleanor Roosevelt: a lifetime of dedication to human rights;Thant, U.
63446;1963;63432;[16, 17];Text of the Universal Declaration of Human Rights;United Nations. General Assembly Paris 1948 10th
63446;1963;63433;[18, 19];Life of court and people in ancient Turkish art;
63436;1963;63435;[22, 23];UNESCO expands its science programme;United Nations Conference on the Application of Science and Technology for the Benefit of the Less Developed Areas Geneva 1963
63446;1963;63441;[20, 21, 22, 23, 24, 25];Ataturk and the emancipation of women;Afetinan, A.
63446;1963;63443;[26, 27, 28, 29, 30, 31, 32];Culture and freedom;Arciniegas, German
63456;1962;63453;[4, 5, 6, 7, 8];A Frozen continent of many paradoxes;Laclavère, Georges
63456;1962;63458;[14, 15, 16, 17, 18, 19, 20];Discovery, exploration, adventure and courage;Robin, Gordon de Q.
63456;1962;63460;[21, 22, 23, 24, 25, 26, 27];Living at 70 degrees centigrade below zero;Siple, Paul A.
63456;1962;63462;[28, 29, 30, 39];Of sunspots, magnetic rings and 'polar lights';Moore, Alan F.
63456;1962;63463;[31, 32, 33, 34];Journey into the inaccessible;Somov, Mikhaïl M.
63456;1962;63465;[35, 36, 37, 38, 39];Wild life: nature has created unique species in the world's coldest climate;Panzarini, Rodolfo N.
66321;1985;63466;[12, 13];The Kalevala and the flowering of Finnish art;Kirkinen, Heikki
78285;1962;63473;[4, 5, 6, 7, 8, 9, 10, 11];Nemrud Dagh: for 2,000 years the colossal statues of an East-West sanctuary have guarded the secret of an Anatolian king;Bentley, Pauline
78285;1962;63474;[12, 13, 14];Frederick Douglass: a slave who became freedom's trumpet;Quarles, Benjamin
78285;1962;63476;[15, 16, 17, 18, 19, 20, 21];The Incas of today;Métraux, Alfred
78285;1962;63504;[22, 23, 24, 25];Ping-pong dolls go to school;Rabecq-Maillard, Marie M.
78285;1962;63506;[26, 27, 28];Australia's giant eye on outer space;Speight, Selwyn
78285;1962;63508;[29, 30, 31, 32];Little-known masterpieces of Bulgarian mediaeval art;Vassilev, Assene
74929;1985;63520;[5, 6, 7, 8, 9];Women of the Mediterranean: 'a shared destiny';Göle, Nilüfer
74929;1985;63522;[10, 11, 12, 13];Latin American woman: 'an elusive shadow';Futoransky, Luisa
74929;1985;63523;[14, 15];Women under apartheid: 'a triple oppression';Flepp, Caroline
74929;1985;63525;[16, 17, 18, 19];Johann Sebastian Bach: 'between memory and prophecy';Basso, Alberto
74929;1985;63526;[20, 21, 22];Niels Bohr: a pragmatic genius;Gribbin, John R.
74929;1985;63527;[23, 24, 25];In defence of folklore;Guibbert, Jean Paul
74929;1985;63528;[26, 27];UNESCO and the preservation and protection of folklore;
74929;1985;63529;[28, 29, 30, 31];Bartolomé de Las Casas: 'the apostle of the Indians';Zavala, Silvio
74929;1985;63530;[32, 33, 34];Cartagena de Indias: 'a city with a soul';Durán, Renata
78286;1962;63550;[4, 5, 6, 7, 8, 9];The Art of seeing a film;Peters, Jan Marie Lambert
78286;1962;63551;[10, 11, 12, 13, 14, 15];The Awakening African cinema;Rouch, Jean
78286;1962;63552;[16, 17, 18, 19];Tomorrow's weather: will artificial satellites give us the right answers?;Behrman, Daniel
78286;1962;63554;[20, 21, 22, 23, 24, 25];The Story of the metric system: a centuries-old battle against chaos;Langevin, Luce
78286;1962;63556;[26, 27, 28, 29, 30, 31, 32];"Computer deciphers Maya hieroglyphs; cryptogram technique used to solve linguistic enigma";Shirokov, Felix
78187;1962;63558;[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16];The Two faces of world health;Manevy, Jean V.
78189;1962;63559;[4, 5, 6, 7, 8, 10, 11, 12, 13];2,000 million persons without access to news: a UNESCO world enquiry;Burnet, Mary
78187;1962;63560;[17, 18, 19, 20];Medical research today;Auger, Pierre
78187;1962;63563;[21, 22, 23];An S.O.S. from cableman to fisherman;Lawton, C.S.
78187;1962;63564;[24, 25, 26, 27, 28];Translators, words and things;Mounin, Georges
78187;1962;63566;[29, 30, 31, 32];Students abroad in search of knowledge;Behrens, Gordon
78354;1962;63568;[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15];Thirsty lands;White, Gilbert Fowler
78354;1962;63569;[18, 19, 20, 21, 22, 23, 24];The Emperor penguin, monarch of Antarctica;Prévost, Jean
78354;1962;63571;[24, 25, 26, 27];Lost hymns of Georgia: a 1,000-year-old musical mystery unravelled by a Soviet linguist;Ingorokva, Pavle
78354;1962;63573;[28, 29, 30, 31];Modern Japanese fiction: a break with tradition;Morris, Ivan
78189;1962;63577;[14, 15, 16, 17];A scientist looks at popularization;Auger, Pierre
78189;1962;63580;[20, 21, 22];"Paul Geheeb; in a world of violence, the search for a new humanism";Sri Aurobindo
78189;1962;63582;[23, 24, 25, 26];A Bold educational reformer and a school for mankind;Cassirer, Henry R.
78189;1962;63585;[27, 28, 29, 30, 31];Music of the Orient: a new language for Western ears;Daniélou, Alain
78189;1962;63587;[32];Latest panorama of the world's translations;
63738;1962;63592;[4, 5];World campaign against hunger;
63738;1962;63595;[6, 7, 8, 9, 10, 11, 12, 13, 14];The Challenge of hunger;Sen, Binay Ranjan
63738;1962;63596;[15, 16, 17, 18, 19];Famine, the greatest scourge of history;Zottola, Georges
63738;1962;63598;[20, 21, 22, 23];Hidden hunger;Cépède, Michel
63738;1962;63600;[26, 27, 28, 29, 30, 31];Food taboos, ally of hunger;Autret, Marcel
63738;1962;63601;[32, 33, 34, 35, 36, 37];The Food destroyers: insects and other pests ravage crops that could feed untold millions of people;Vallega, J.M.
63738;1962;63611;[24, 25];"Maps of hunger; food and population";Food and Agriculture Organization of the United Nations
63738;1962;63614;[38, 39, 40, 41, 42, 43, 44, 45];Food and people;United Nations
63738;1962;63620;[54];New world strategy for surplus stocks;
63738;1962;63621;[55, 56];The Anatomy of underdevelopment;United Nations
63738;1962;63622;[57, 58, 59, 60, 61];Waking the sleeping lands;McLaughlin, Kathleen
63738;1962;63626;[46, 47, 48, 49, 52, 53];The First victories;Parker, Frank W.
78193;1962;63629;[4, 5, 6, 7, 8, 9, 10];Music on a string;Marly, Claude
78193;1962;63632;[10, 11, 12, 13];Danger: oil-polluted seas;Woodward, David
78193;1962;63635;[14, 15, 16];The Ocean under a microscope;Howell Rivero, L.
78193;1962;63637;[17, 18, 19, 20, 21, 22];The Anatomy of underdevelopment: pt. 2, Patterns of economic change;United Nations
78193;1962;63646;[23, 24, 25];Gerhart Hauptmann, dramatist of the oppressed;Ruhrberg, Karl
